Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
IV	8	16	8	8	0.000187
V	8	16	8	8	0.000312
NEW	8	16	8	8	0.000018

I	16	15	8	8	0.001094
II	16	15	8	8	0.000830
III	16	15	8	8	0.000531
IV	16	15	8	8	0.000494
V	16	15	8	8	0.000760
NEW	16	15	8	8	0.000586

I	15	16	8	8	0.000540
II	15	16	8	8	0.000779
III	15	16	8	8	0.000320
IV	15	16	8	8	0.000361
V	15	16	8	8	0.000653
NEW	15	16	8	8	0.000037

I	16	1	16	16	0.000627
II	16	1	16	16	0.000710
III	16	1	16	16	0.000644
IV	16	1	16	16	0.001285
V	16	1	16	16	0.001257
NEW	16	1	16	16	0.000263

I	1	16	16	16	0.000098
II	1	16	16	16	0.000109
III	1	16	16	16	0.000075
IV	1	16	16	16	0.000101
V	1	16	16	16	0.000125
NEW	1	16	16	16	0.000007

I	16	8	16	16	0.004732
II	16	8	16	16	0.002493
III	16	8	16	16	0.001905
IV	16	8	16	16	0.001863
V	16	8	16	16	0.002307
NEW	16	8	16	16	0.001261

I	8	16	16	16	0.000677
II	8	16	16	16	0.000974
III	8	16	16	16	0.000399
IV	8	16	16	16	0.000480
V	8	16	16	16	0.001357
NEW	8	16	16	16	0.000029

I	16	15	16	16	0.003682
II	16	15	16	16	0.002624
III	16	15	16	16	0.001335
IV	16	15	16	16	0.001283
V	16	15	16	16	0.002253
NEW	16	15	16	16	0.001915

I	15	16	16	16	0.001222
II	15	16	16	16	0.001950
III	15	16	16	16	0.000744
IV	15	16	16	16	0.000859
V	15	16	16	16	0.002024
NEW	15	16	16	16	0.000046

I	16	1	32	32	0.001536
II	16	1	32	32	0.001829
III	16	1	32	32	0.001502
IV	16	1	32	32	0.004521
V	16	1	32	32	0.004474
NEW	16	1	32	32	0.000632

I	1	16	32	32	0.000249
II	1	16	32	32	0.000370
III	1	16	32	32	0.000227
IV	1	16	32	32	0.000304
V	1	16	32	32	0.000382
