Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,60,0.00004770,0.01547851,0.00308169
2,120,0.00012132,0.00422273,0.02873070
2,250,0.00037140,0.00357578,0.10386651
2,510,0.00057462,0.00593709,0.09678395
2,1020,0.00121242,0.01050767,0.11538460
2,2040,0.00238759,0.01885794,0.12660954
2,4090,0.00548662,0.03587838,0.15292272
2,8190,0.00873103,0.06997070,0.12478124
2,16380,0.01583462,0.13338933,0.11870976
2,32760,0.03424420,0.26599649,0.12873927
2,131070,0.16728122,1.01479944,0.16484166
4,30,0.00007298,0.01723513,0.00423443
4,60,0.00025244,0.00757157,0.03334025
4,120,0.00079065,0.00860678,0.09186370
4,250,0.00247697,0.00761924,0.32509442
4,510,0.00193684,0.01113677,0.17391389
4,1020,0.00381704,0.01851071,0.20620721
4,2040,0.00786235,0.03548588,0.22156279
4,4090,0.01176621,0.06699513,0.17562784
4,8190,0.02501192,0.13211564,0.18931840
4,16380,0.05420296,0.24789392,0.21865387
4,32760,0.11475271,0.48685355,0.23570273
4,131070,0.57863406,2.49010302,0.23237354
8,30,0.00043559,0.00825344,0.05277667
8,60,0.00178983,0.00977546,0.18309446
8,120,0.00500548,0.01154785,0.43345542
8,250,0.00282542,0.01451045,0.19471662
8,510,0.00567987,0.02747068,0.20676100
8,1020,0.01062438,0.05275781,0.20138029
8,2040,0.02271638,0.09257602,0.24538082
8,4090,0.05055895,0.16964970,0.29801966
8,8190,0.11498824,0.32710342,0.35153483
8,16380,0.24812915,0.77728825,0.31922411
8,32760,0.51548675,1.56014806,0.33040887
8,131070,2.43310976,6.94135185,0.35052391
16,30,0.00175018,0.01274881,0.13728153
16,60,0.00286762,0.01750751,0.16379380
16,120,0.00575327,0.03082200,0.18666125
16,250,0.01080593,0.05146784,0.20995490
16,510,0.02200985,0.08968217,0.24542054
16,1020,0.04746462,0.15594994,0.30435808
16,2040,0.10464905,0.32538575,0.32161536
16,4090,0.22365237,0.65598349,0.34094208
16,8190,0.48324504,1.32536597,0.36461253
16,16380,1.01161735,2.94211041,0.34384072
16,32760,2.18614044,6.05986615,0.36075722
16,131070,9.97078766,28.02652292,0.35576256
32,30,0.00554432,0.04893485,0.11330012
32,60,0.01069105,0.08501742,0.12575128
32,120,0.02141181,0.11754875,0.18215262
32,250,0.04581125,0.18777197,0.24397277
32,510,0.10116904,0.31264128,0.32359463
32,1020,0.20908348,0.62237066,0.33594689
32,2040,0.42722045,1.24752245,0.34245512
32,4090,0.87632734,2.75517459,0.31806599
32,8190,1.94539149,5.70459051,0.34102211
32,16380,4.24103707,11.61503161,0.36513349
32,32760,9.07374130,23.74113497,0.38219492
64,30,0.05543496,0.23942711,0.23153167
64,60,0.05167131,0.14439042,0.35785829
64,120,0.10035453,0.29164524,0.34409797
64,250,0.21128492,0.61429212,0.34394860
64,510,0.46813082,1.25037028,0.37439375
64,1020,1.01964339,2.79072057,0.36536922
64,2040,2.18042632,5.58622631,0.39032187
64,4090,4.55117429,11.47154999,0.39673578
64,8190,9.66135869,23.38408298,0.41315961
128,30,0.23198355,0.31137506,0.74502932
128,60,0.37320181,0.62320693,0.59884092
128,120,0.80302540,1.30039600,0.61752374
128,250,1.30713252,2.99926062,0.43581825
128,510,2.70120138,6.14225231,0.43977376
128,1020,5.76748783,12.46875632,0.46255518
128,2040,11.98089455,25.63260052,0.46740847
256,30,1.08432275,1.31983882,0.82155695
256,60,1.91959902,2.92729179,0.65575937
256,120,3.89370666,5.96307839,0.65296922
256,250,8.15338664,12.79512208,0.63722617
256,510,15.67419735,26.06244349,0.60140936
512,30,5.50749274,6.53159012,0.84320857
512,60,9.47554814,12.76432483,0.74234621
512,120,19.02574471,27.10504367,0.70192636
1024,30,27.33377135,31.20866450,0.87583919


Bench polynomial matrix multiplication (normal prime)
p = 812232157937  (normal prime, bit length = 40)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001642,0.03998998,0.00041058
2,60,0.00004670,0.02304703,0.00202633
2,120,0.00012627,0.00733006,0.01722674
2,250,0.00038258,0.00573417,0.06671894
2,510,0.00057515,0.00774051,0.07430418
2,1020,0.00122142,0.01356383,0.09004996
2,2040,0.00260284,0.02353199,0.11060875
2,4090,0.00548466,0.04470117,0.12269608
2,8190,0.00883013,0.08696229,0.10153978
2,16380,0.01591203,0.16875157,0.09429263
2,32760,0.03461112,0.33399392,0.10362800
2,131070,0.16416021,1.34035252,0.12247540
4,30,0.00007710,0.02655336,0.00290363
4,60,0.00028025,0.00794712,0.03526470
4,120,0.00080679,0.00920772,0.08762120
4,250,0.00256655,0.00820913,0.31264543
4,510,0.00201848,0.01565980,0.12889590
4,1020,0.00398155,0.02208279,0.18030086
4,2040,0.00764051,0.04148040,0.18419559
4,4090,0.01229340,0.08167165,0.15052217
4,8190,0.02534060,0.16064954,0.15773837
4,16380,0.05401161,0.31529620,0.17130435
4,32760,0.11676017,0.62195417,0.18773115
4,131070,0.58678249,2.56783522,0.22851252
8,30,0.00043779,0.01172068,0.03735227
8,60,0.00178112,0.01337094,0.13320806
8,120,0.00529181,0.01452558,0.36430967
8,250,0.00285719,0.01731651,0.16499770
8,510,0.00572682,0.02816153,0.20335619
8,1020,0.01151388,0.05352620,0.21510739
8,2040,0.02317365,0.10282081,0.22537897
8,4090,0.05060668,0.19833604,0.25515623
8,8190,0.11740195,0.38604790,0.30411240
8,16380,0.24574541,0.78584034,0.31271671
8,32760,0.53074453,1.66723922,0.31833736
8,131070,2.46083839,6.80969616,0.36137272
16,30,0.00158965,0.01543232,0.10300788
16,60,0.00287086,0.01511837,0.18989243
16,120,0.00568019,0.02514379,0.22590838
16,250,0.01082254,0.04919363,0.21999877
16,510,0.02195468,0.08559958,0.25648115
16,1020,0.04725255,0.17050165,0.27713837
16,2040,0.10371825,0.32848023,0.31575188
16,4090,0.22184798,0.66404794,0.33408429
16,8190,0.47642193,1.41844824,0.33587544
16,16380,1.00820381,2.81676349,0.35792988
16,32760,2.16310338,7.06382004,0.30622289
16,131070,9.90427774,32.62750339,0.30355610
32,30,0.00573408,0.02725038,0.21042205
32,60,0.01101141,0.04376708,0.25159107
32,120,0.02172487,0.07962476,0.27284061
32,250,0.04493461,0.15991380,0.28099267
32,510,0.10013332,0.31732476,0.31555472
32,1020,0.21035222,0.63502410,0.33125076
32,2040,0.43446872,1.28523307,0.33804664
32,4090,0.88359066,3.09860931,0.28515717
32,8190,1.88671485,6.63992985,0.28414680
32,16380,4.27846846,13.37800023,0.31981375
32,32760,9.02024869,27.74649322,0.32509509
64,30,0.05661401,0.08422224,0.67219790
64,60,0.05131124,0.16888679,0.30382031
64,120,0.10816192,0.32233050,0.33556217
64,250,0.21043127,0.64495036,0.32627514
64,510,0.46345556,1.43588130,0.32276732
64,1020,1.01540916,3.07213864,0.33052192
64,2040,2.17078669,6.45504821,0.33629287
64,4090,4.59272021,13.13517949,0.34965036
64,8190,9.65158414,26.16681518,0.36884826
128,30,0.24042587,0.43518635,0.55246648
128,60,0.39654139,0.73375066,0.54043071
128,120,0.85993969,1.53977231,0.55848497
128,250,1.27424714,3.29126276,0.38716056
128,510,2.70344362,7.02240509,0.38497403
128,1020,5.69502439,14.16607568,0.40201849
128,2040,11.84948081,29.49292405,0.40177369
256,30,1.08298179,1.53925311,0.70357616
256,60,1.97031655,3.28842085,0.59916800
256,120,4.16286279,6.83718766,0.60885601
256,250,8.71849124,14.47090308,0.60248425
256,510,15.66372993,30.21571398,0.51839682
512,30,5.89859709,7.53560901,0.78276316
512,60,10.40232652,15.18932906,0.68484437
512,120,20.88239295,31.82543433,0.65615422
1024,30,30.67207317,37.29436711,0.82243179


Bench polynomial matrix multiplication (normal prime)
