Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,32760,0.02185312,0.26240684,0.08327955
2,131070,0.09889477,1.03823904,0.09525241
4,30,0.00005397,0.04238263,0.00127338
4,60,0.00018413,0.05686011,0.00323826
4,120,0.00029923,0.06722686,0.00445102
4,250,0.00060319,0.07859870,0.00767434
4,510,0.00124963,0.08606572,0.01451954
4,1020,0.00242073,0.01813926,0.13345280
4,2040,0.00504751,0.03446713,0.14644421
4,4090,0.00792825,0.06542286,0.12118474
4,8190,0.01675532,0.13010245,0.12878559
4,16380,0.03677586,0.25210929,0.14587268
4,32760,0.07921112,0.50855736,0.15575651
4,131070,0.35912643,2.02165167,0.17764011
8,30,0.00020460,0.15526747,0.00131775
8,60,0.00053045,0.17648281,0.00300568
8,120,0.00108304,0.19119231,0.00566468
8,250,0.00229546,0.01363209,0.16838611
8,510,0.00473564,0.02392163,0.19796488
8,1020,0.00737573,0.04349135,0.16959075
8,2040,0.01538420,0.08115625,0.18956266
8,4090,0.03327526,0.16967515,0.19611157
8,8190,0.07562835,0.33243237,0.22749997
8,16380,0.15897655,0.66281588,0.23985025
8,32760,0.33033526,1.33880914,0.24673813
8,131070,1.47656191,5.89458530,0.25049462
16,30,0.00087010,0.45014867,0.00193291
16,60,0.00224215,0.01506460,0.14883552
16,120,0.00461183,0.02190529,0.21053511
16,250,0.00747153,0.03797729,0.19673686
16,510,0.01551185,0.07150593,0.21693090
16,1020,0.03329198,0.14283261,0.23308391
16,2040,0.07452953,0.27747900,0.26859522
16,4090,0.15570968,0.58165627,0.26770052
16,8190,0.32103482,1.16565546,0.27541142
16,16380,0.67518653,2.50976261,0.26902406
16,32760,1.40193797,5.28140249,0.26544805
16,131070,13.94278540,22.76486651,0.61246946
32,30,0.00333984,0.02245803,0.14871470
32,60,0.00684252,0.03658419,0.18703497
32,120,0.01378221,0.06622921,0.20809872
32,250,0.02968573,0.13119650,0.22626920
32,510,0.06637401,0.26227455,0.25307073
32,1020,0.13961016,0.52290571,0.26698916
32,2040,0.28620568,1.05137586,0.27222014
32,4090,0.59226804,2.25725140,0.26238461
32,8190,1.24498559,4.78941754,0.25994509
32,16380,2.63501414,9.75916149,0.27000415
32,32760,5.53189033,19.54783943,0.28299242
64,30,0.01752667,0.06610173,0.26514695
64,60,0.03589305,0.12286997,0.29212226
64,120,0.07729786,0.24838848,0.31119743
64,250,0.16255814,0.51072564,0.31828858
64,510,0.33141586,1.04100741,0.31836071
64,1020,0.70586211,2.23186779,0.31626520
64,2040,1.52747805,4.69650211,0.32523738
64,4090,3.26786160,9.57896297,0.34114983
64,8190,6.84752319,19.45464715,0.35197365
128,30,0.10381935,0.25961504,0.39989728
128,60,0.20902531,0.51819114,0.40337493
128,120,0.42845769,1.06192382,0.40347310
128,250,0.88094559,2.43127933,0.36233829
128,510,1.89967461,4.96418163,0.38267629
128,1020,4.08482161,10.09531069,0.40462565
128,2040,8.77122100,20.86561116,0.42036732
256,30,0.68802819,1.05643687,0.65127241
256,60,1.37752750,2.32322591,0.59293739
256,120,2.84598260,4.85973502,0.58562506
256,250,5.97998176,10.26889289,0.58233948
256,510,12.43343918,21.21023948,0.58619985
512,30,4.37255705,5.12732467,0.85279504
512,60,9.09535899,10.80469006,0.84179731
512,120,18.48436237,22.53855667,0.82012183
1024,30,29.19980918,26.15601291,1.11637080

Bench polynomial matrix multiplication (normal prime)
p = 823999907  (normal prime, bit length = 30)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001763,0.03007501,0.00058623
2,60,0.00004781,0.01067610,0.00447795
2,120,0.00012712,0.00424408,0.02995300
2,250,0.00039898,0.00359080,0.11111257
2,510,0.00059746,0.00593348,0.10069286
2,1020,0.00125853,0.01056473,0.11912572
2,2040,0.00269465,0.01902070,0.14166947
2,4090,0.00527779,0.03580496,0.14740387
2,8190,0.00924974,0.06927209,0.13352761
2,16380,0.01671704,0.13383896,0.12490413
2,32760,0.03599584,0.25353413,0.14197632
2,131070,0.16959816,1.00333271,0.16903481
4,30,0.00007468,0.01554238,0.00480473
4,60,0.00027722,0.00595533,0.04655005
4,120,0.00080025,0.00698934,0.11449543
4,250,0.00247639,0.00628315,0.39413253
4,510,0.00287915,0.01187795,0.24239429
4,1020,0.00621532,0.01890052,0.32884379
4,2040,0.01039898,0.03541841,0.29360393
4,4090,0.01920406,0.06672874,0.28779293
4,8190,0.04038516,0.12513385,0.32273570
4,16380,0.08658171,0.24607074,0.35185698
4,32760,0.18602789,0.48883206,0.38055583
4,131070,0.82584425,2.50301540,0.32993974
8,30,0.00044341,0.00610745,0.07260163
8,60,0.00165952,0.00780209,0.21270145
8,120,0.00532277,0.01196647,0.44480682
8,250,0.00560631,0.01684200,0.33287695
8,510,0.00975518,0.02901380,0.33622562
8,1020,0.01806023,0.05173357,0.34910085
8,2040,0.03786424,0.08850546,0.42781809
8,4090,0.08896428,0.16776930,0.53027744
8,8190,0.17963388,0.38848084,0.46240088
8,16380,0.37402202,0.77930797,0.47994122
8,32760,0.76614557,1.58534893,0.48326621
8,131070,3.38923108,7.00147473,0.48407389
16,30,0.00221521,0.01425453,0.15540396
16,60,0.00556677,0.01963133,0.28356547
16,120,0.00990092,0.03619987,0.27350697
16,250,0.01909779,0.05911343,0.32307017
16,510,0.03846946,0.09590395,0.40112484
16,1020,0.08082522,0.16450757,0.49131610
16,2040,0.17332666,0.32906433,0.52672578
16,4090,0.36582484,0.66409065,0.55086582
16,8190,0.75827423,1.36355196,0.55610219
16,16380,1.57717323,2.99841969,0.52600149
16,32760,3.26783575,6.15082051,0.53128452
16,131070,14.43397514,27.05097413,0.53358430
32,30,0.00866417,0.07378340,0.11742706
32,60,0.01716813,0.10193476,0.16842270
32,120,0.03502173,0.14213247,0.24640206
32,250,0.07325043,0.15639939,0.46835499
32,510,0.16050316,0.31132326,0.51555146
32,1020,0.32891437,0.62744588,0.52421154
32,2040,0.68092865,1.27883843,0.53245870
32,4090,1.40878349,2.70206298,0.52137330
32,8190,2.97758246,5.80320243,0.51309298
32,16380,6.15327207,11.81690950,0.52071754
32,32760,12.68577663,23.64654356,0.53647488
64,30,0.13722127,0.32416601,0.42330553
64,60,0.08744166,0.14434643,0.60577640
64,120,0.18443789,0.29145786,0.63281153
64,250,0.39125493,0.61114057,0.64020448
64,510,0.77831534,1.25998514,0.61771788
64,1020,1.64314031,2.64648409,0.62087670
64,2040,3.54250873,5.61853234,0.63050429
64,4090,7.41638871,11.57334437,0.64081639
64,8190,15.31473482,23.28718133,0.65764657
128,30,0.57334774,0.31153872,1.84037390
128,60,0.76388135,0.62176562,1.22856801
128,120,1.54900961,1.30113488,1.19050656
128,250,2.01651289,2.82245816,0.71445271
128,510,4.34896974,6.09666985,0.71333529
128,1020,9.01311238,12.29766960,0.73291222
128,2040,19.18084952,25.66779880,0.74727286
256,30,2.51724114,1.30952547,1.92225443
256,60,3.50346873,2.78013567,1.26017905
256,120,7.12211882,5.94854434,1.19728767
256,250,14.79831952,12.63526572,1.17119179
256,510,26.70688724,26.24388782,1.01764218
512,30,11.26848561,6.25258577,1.80221208
512,60,16.82019335,12.83170519,1.31083072
512,120,33.64494929,26.99648497,1.24627148
1024,30,53.81134969,32.43297056,1.65915575

Bench polynomial matrix multiplication (normal prime)
p = 688526273203  (normal prime, bit length = 40)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001693,0.05450597,0.00031055
2,60,0.00004740,0.02783906,0.00170275
2,120,0.00013331,0.00734129,0.01815907
2,250,0.00036286,0.00575333,0.06306954
2,510,0.00059693,0.00810233,0.07367373
2,1020,0.00126076,0.01392719,0.09052512
2,2040,0.00267427,0.02347638,0.11391311
2,4090,0.00566570,0.04419616,0.12819435
2,8190,0.00898055,0.08695581,0.10327717
2,16380,0.01665320,0.16863521,0.09875283
2,32760,0.03584336,0.33366083,0.10742454
2,131070,0.16916640,1.32563633,0.12761147
4,30,0.00007509,0.02076492,0.00361629
4,60,0.00025610,0.00943444,0.02714577
4,120,0.00079787,0.01067785,0.07472231
4,250,0.00254893,0.00970860,0.26254357
4,510,0.00299057,0.01327066,0.22535185
4,1020,0.00622371,0.02207047,0.28199281
4,2040,0.01101535,0.04055265,0.27163077
4,4090,0.01932569,0.07823284,0.24702786
4,8190,0.04030263,0.15479236,0.26036574
4,16380,0.08678886,0.30895452,0.28091143
4,32760,0.18713625,0.61808004,0.30277025
4,131070,0.83069995,2.54718561,0.32612463
8,30,0.00044466,0.00934626,0.04757584
